current-leaf	tier	post-collapse-typing	refs	reason-if-not-T1
pr evidence-required	T1	pr evidence-required	1
pr global-receipt-events-path	T1	pr global-receipt-events-path	0
pr graphql-exec	T1	pr graphql-exec	1
pr hold-check	T1	pr hold-check	0
pr info	T1	pr info	10
pr list	T1	pr list	3
pr logs	T1	pr logs	1
pr merge	KEEP	pr merge	55	deliberate readability slack for a high-traffic distinct operation
pr next-receipt-generation	T1	pr next-receipt-generation	0
pr rebase	T1	pr rebase	21
pr ritual	T1	pr ritual	24
pr status	T1	pr status	19
pr sync-canonical	T1	pr sync-canonical	2
pr verify	T1	pr verify	13
pr-watch heal	T1	pr-watch heal	3
pr-watch install	T1	pr-watch install	3
pr-watch refresh	T1	pr-watch refresh	1
pr-watch status	T1	pr-watch status	3
pr-watch tick	T1	pr-watch tick	2
pr-watch uninstall	T1	pr-watch uninstall	1
research	KEEP	research	18	single-leaf group
restart	KEEP	restart	17	single-leaf group
resume receipt show	T1	resume receipt show	1
resume receipt validate	T1	resume receipt validate	3
resume receipt write	T1	resume receipt write	2
retro drain-postmortems	T1	retro drain-postmortems	2
retro run	T1	retro run	23
retro sweep-carveouts	T1	retro sweep-carveouts	3
review	KEEP	review	27	single-leaf group
roles context	T1	roles context	2
roles ls	T1	roles ls	1
roles resolve	T1	roles resolve	2
roles show	T1	roles show	2
route env	T1	route env	4
route ls	T1	route ls	3
route set	T1	route set	4
route unset	T1	route unset	1
runtime register-worker	T1	runtime register-worker	1
runtime worktree	T1	runtime worktree	3
scoreboard	KEEP	scoreboard	13	single-leaf group
setup cli-hooks	T1	setup cli-hooks	8
setup cli-hooks-codex	T1	setup cli-hooks-codex	4
setup codex-plugin	T1	setup codex-plugin	10
setup github-cli	T1	setup github-cli	0
setup migrate-config	T1	setup migrate-config	1
setup migrate-paths	T1	setup migrate-paths	8
setup plan	T1	setup plan	7
setup post-merge	T1	setup post-merge	6
setup wizard	T1	setup wizard	10
skill-diff reconcile	T1	skill-diff reconcile	1
skill-diff tick	T1	skill-diff tick	4
state archive	T1	state archive	1
state init	T1	state init	3
state set	T1	state set	20
state show	T1	state show	7
status	KEEP	status	22	single-leaf group
status-fanout	KEEP	status-fanout	4	single-leaf group
stub-manifest reconcile-finalize	T1	stub-manifest reconcile-finalize	1
stub-manifest reconcile-validate	T1	stub-manifest reconcile-validate	2
stub-manifest write	T1	stub-manifest write	2
target blast-check	T1	target blast-check	3
target check-contained	T1	target check-contained	4
target check-dispatch-hold	T1	target check-dispatch-hold	2
target check-review-gate	T1	target check-review-gate	4
target denominator-ratio	T1	target denominator-ratio	2
target init	KEEP	target init	90	deliberate readability slack for a high-traffic distinct operation
target resolve-model	T1	target resolve-model	2
target resolve-owned-identity	T1	target resolve-owned-identity	3
target review-invocation	T1	target review-invocation	4
target start	T1	target start	31
target status	T1	target status	8
test	KEEP	test	108	single-leaf group
think dispatch	T1	think dispatch	4
think inspect	T1	think inspect	7
update	KEEP	update	88	single-leaf group
version	KEEP	version	15	single-leaf group
whoami	KEEP	whoami	45	single-leaf group
worker blueprint	T1	worker blueprint	0
worker external	T1	worker external	0
worker reconcile	T1	worker reconcile	0
worker review	T1	worker review	0
worker ship	T1	worker ship	2
worktree archive	T1	worktree archive	2
worktree cleanup	T1	worktree cleanup	6
worktree ensure	T1	worktree ensure	30
worktree overlap-record	T1	worktree overlap-record	3
worktree overlaps	T1	worktree overlaps	5
worktree policy	T1	worktree policy	9
worktree reapable	T1	worktree reapable	4
worktree status	T1	worktree status	1
worktree stranded	T1	worktree stranded	1
agents watchdog	T1	agents watchdog	4
