# scripts/ci/ci-gate-lanes.tsv
#
# One row per shell script in scripts/ci: script, lane, invoker, note.
# Tab separated. check-ci-gate-lanes.sh diffs this against the live directory,
# verifies that every declared invoker really runs the script, AND enumerates
# the real invokers to refuse a row that lists only some of them. Naming one of
# two invokers is still a row that lies about coverage: delete the workflow step
# it left out and the manifest stays green while a CI lane disappears.
#
# Adding a script to scripts/ci needs a row here, in the same PR. A script with
# no row is a red check, not a review catch somebody has to remember to make.
#
# The invoker column is a COMMA-SEPARATED LIST. A gate really can sit on more
# than one path, and the manifest has to be able to say so: guards.yml carries
# no paths filter, so it is the lane that covers a docs-only PR, while
# preflight.sh is the lane that fires before the push. Every listed invoker is
# verified to really invoke the script.
#
# lane says WHEN it fires, which is the thing a document kept getting wrong:
#   local       fires before the push, because cli/src/fno/test_cmd.py or
#               scripts/ci/preflight.sh runs it. Needs no note.
#   ci          only a workflow runs it, so it can only fail after the push,
#               though it could run earlier. Requires a note naming the cost.
#   post-push   needs a PR, a remote or a merge to exist, so it cannot fire
#               earlier by nature. Requires a note saying which artifact.
#   entrypoint  a runner a person invokes, not a gate. Invoker column is '-'.
#               Requires a note.
#
# Any lane but local owes a reason, and "not yet moved" is not one. The note
# names a runtime, a network dependency, or the PR artifact the gate needs.
#
# Measured 2026-08-20. Before this pass: 15 local, 27 ci, 1 entrypoint, and 2
# scripts reachable from nothing at all. After: 30 local, 5 ci, 10 post-push,
# 1 entrypoint, 0 unreachable.
check-pr-style.sh	post-push	.github/workflows/guards.yml	reads the PR body
check-preamble-budget.sh	local	.github/workflows/guards.yml,cli/src/fno/test_cmd.py	
check-preflight-scope-parity.sh	local	.github/workflows/guards.yml,scripts/ci/preflight.sh	awk over three files, milliseconds; the drift it catches is silent and only surfaces as an evidence gate that can never clear
check-proto-version-bump.sh	ci	.github/workflows/rust-ci.yml	runs an unconditional git fetch, so it cannot run in the hermetic pre-push leg with an empty HOME
check-registry-schema-parity.sh	local	.github/workflows/rust-ci.yml,cli/src/fno/test_cmd.py	
check-review-app-parity.sh	local	.github/workflows/rust-ci.yml,scripts/ci/preflight.sh	
check-review-invocation-single-source.sh	local	.github/workflows/guards.yml,scripts/ci/preflight.sh	
check-reviewer-descriptor-parity.sh	local	.github/workflows/rust-ci.yml,cli/src/fno/test_cmd.py	
check-skill-snippets.sh	local	cli/src/fno/test_cmd.py	
check-stacked-base.sh	post-push	.github/workflows/stacked-base-guard.yml	needs a PR number and head sha, and posts commit statuses to other open PRs
check-tracker-consumers.sh	local	.github/workflows/guards.yml,scripts/ci/preflight.sh	
check-tracker-partition.sh	local	.github/workflows/guards.yml,scripts/ci/preflight.sh	
check-uv-install-compiles-bytecode.sh	local	.github/workflows/guards.yml,scripts/ci/preflight.sh	
check-workflow-manifest.sh	local	.github/workflows/guards.yml,scripts/ci/preflight.sh	
control-plane-doc-colocation.sh	ci	.github/workflows/guards.yml	needs BASE_REF and is advisory without a PR base, so it reports nothing actionable before the push
coverage-carry.sh	post-push	.github/workflows/review-coverage-gate.yml	needs repo, context and the before/head shas of a real PR
loc-ratchet.sh	post-push	.github/workflows/guards.yml	needs a base ref and reads the loc-exception line out of the PR body
preflight.sh	entrypoint	-	the local rehearsal a person runs before pushing; it invokes gates, it is not one
